video_id,title,description,published_at,duration_seconds,is_short,Channel_Name,Channel_ID,channel_description
AKvAasauoDk,The TRUTH about the Israeli Diplomat Shooter,"Go to https://ground.news/noah to stay fully informed on issues that matter to you. Save 40% for unlimited access to the Vantage Plan through my link this month only.  ***One important detail that I'd missed, that according to Israeli officials, the suspect had confirmed his targets' identities before opening fire. This detail contradicts one argument in the narrative of antisemitism, that he shot random people outside of a Jewish museum  DONATE https://getinvolved.unrwausa.org/fundraiser/6373577  MY LINKS patreon: https://www.patreon.com/samsen bluesky: https://bsky.app/profile/nsamsen.bsky.social instagram: https://www.instagram.com/noahsamsen/  SOURCES https://www.kenklippenstein.com/p/read-elias-rodriguezs-leaked-chats https://www.nytimes.com/live/2025/05/22/us/israel-embassy-shooting-dc https://time.com/7288245/jewish-museum-shooting-dc-antisemitism-time-to-act/ https://x.com/AricToler/status/1925598880449593570 https://www.washingtonpost.com/dc-md-va/2025/05/22/israeli-embassy-staff-dc-shooting-capital-jewish-museum/ https://truthsocial.com/@realDonaldTrump/posts/114549529250052858 https://www.youtube.com/watch?v=czyF0IucIpY https://ground.news/article/man-accused-of-killing-2-israeli-embassy-staffers-in-dc-charged-with-murder-of-federal-officials https://ground.news/article/israel-says-embassy-staffers-shooting-reflects-alarming-rise-in-antisemitic-sentiment https://youtu.be/MD_rtZ7gXC4?si=GAyhjF9d9SItlhQE https://www.ynetnews.com/article/hjyxay1zxg",2025-05-30 12:00:19,492,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
9DX5nlXXOsM,UNRWA FUNDRAISER DAY 7,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  ALL TIMES PST Thursday 5/22 9am @TaraMooknee  12pm @MikeFromPA  2pm @Andrewism TBD iDubbbz TBD Maggie Mae Fish  Friday 5/23 8:30am @HebrewCanaanite  10am @DoNotWorryPodcast  12pm @Ayyrabs   vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s vod3: https://youtube.com/live/X2FHG4-TThU vod4: https://www.youtube.com/watch?v=PB9hN4963xM vod5: https://youtube.com/live/t4Zg01dd9bE?feature=share vod6: https://youtube.com/live/cnyt75Mr5j4 vod7: https://youtube.com/live/u5sL2STsb7s vod8: https://youtube.com/live/iGJtKfW6rs0 vod9: https://youtube.com/live/E5UJ1konlPg vod10: https://youtube.com/live/-G2yiztUvEU  GOALS $500K - ????? $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:50:30,27304,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
kwHFvlBnTH0,FUNDRAISER STREAM DAY 1,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  GUEST SCHEDULE (all times PST) SATURDAY 5/17 6pm - Tirrrb 10pm - Gokanaru 12am- Ahmed Sarsour  SUNDAY 5/18 9am - Chris Kunzler 11am - Overzealots 3pm - Ayyrabs podcast 8pm - Hasan Piker 10:30pm - Indie Nile  MONDAY 5/19 10am - elle literacy 1pm - Denims 3pm - Ro Ramdin 6pm- FD Signifier  PENDING SURPRISE GUESTS!  GOALS $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:57,6681,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
4-iw_oOoi0s,FUNDRAISER STREAM NIGHT 1,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  GUEST SCHEDULE (all times PST) SATURDAY 5/17 6pm - Tirrrb 10pm - Gokanaru 12am- Ahmed Sarsour   SUNDAY 5/18 9am - Chris Kunzler 11am - Overzealots 3pm - Ayyrabs podcast 6pm - BadEmpanada 8pm - Hasan Piker 10:30pm - Indie Nile  MONDAY 5/19 10am - elle literacy 1pm - Denims 3pm - Ro Ramdin 6pm- FD Signifier  PENDING SURPRISE GUESTS!  GOALS $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  VOD1: VOD2: https://www.youtube.com/live/4-iw_oOoi0s?si=-4kCNNX-ILzsKXGF  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:55,42900,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
X2FHG4-TThU,UNRWA FUNDRAISER DAY 2,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577 DONATE TO AHMED'S GOFUNDMES: https://linktr.ee/ahmedsarsour  GUEST SCHEDULE (all times PST) SATURDAY 5/17 6pm - Tirrrb 10pm - Gokanaru 12am- Ahmed Sarsour   SUNDAY 5/18 9am - Chris Kunzler 11am - Overzealots 3pm - Ayyrabs podcast 6pm - BadEmpanada 8pm - Hasan Piker 10:30pm - Indie Nile  MONDAY 5/19 10am - elle literacy 1pm - Denims 3pm - Ro Ramdin 6pm- FD Signifier  PENDING SURPRISE GUESTS!  vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s  GOALS $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:52,40544,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
t4Zg01dd9bE,UNRWA FUNDRAISER DAY 3,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577 SUBSCRIBE TO ELLE: https://www.youtube.com/@elleliteracy   DONATE TO AHMED'S GOFUNDMES: https://linktr.ee/ahmedsarsour  GUEST SCHEDULE (all times PST) SATURDAY 5/17 6pm - Tirrrb 10pm - Gokanaru 12am- Ahmed Sarsour   SUNDAY 5/18 9am - Chris Kunzler 11am - Overzealots 3pm - Ayyrabs podcast 6pm - BadEmpanada 8pm - Hasan Piker 10:30pm - Indie Nile  MONDAY 5/19 10am - elle literacy 1pm - Denims 3pm - Ro Ramdin 6pm- FD Signifier  PENDING SURPRISE GUESTS!  vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s vod3: https://youtube.com/live/X2FHG4-TThU vod4: https://www.youtube.com/watch?v=PB9hN4963xM  GOALS $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:49,42806,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
cnyt75Mr5j4,UNRWA FUNDRAISER DAY 3,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577 DONATE TO AHMED'S GOFUNDMES: https://linktr.ee/ahmedsarsour  GUEST SCHEDULE (all times PST) SATURDAY 5/17 6pm - Tirrrb 10pm - Gokanaru 12am- Ahmed Sarsour   SUNDAY 5/18 9am - Chris Kunzler 11am - Overzealots 3pm - Ayyrabs podcast 6pm - BadEmpanada 8pm - Hasan Piker 10:30pm - Indie Nile  MONDAY 5/19 10am - elle literacy 1pm - Denims 3pm - Ro Ramdin 6pm- FD Signifier  TUESDAY 5/20  WEDNESDAY 5/21  THURSDAY 5/22  FRIDAY 5/23  PENDING SURPRISE GUESTS!  vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s vod3: https://youtube.com/live/X2FHG4-TThU vod4: https://www.youtube.com/watch?v=PB9hN4963xM vod5: https://youtube.com/live/t4Zg01dd9bE?feature=share vod6  GOALS $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:47,32546,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
iGJtKfW6rs0,UNRWA FUNDRAISER DAY 4,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  Tuesday 5/20 2pm Big Joel 4pm Olisunvia + MORE PENDING  vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s vod3: https://youtube.com/live/X2FHG4-TThU vod4: https://www.youtube.com/watch?v=PB9hN4963xM vod5: https://youtube.com/live/t4Zg01dd9bE?feature=share vod6: https://youtube.com/live/cnyt75Mr5j4  GOALS $500K - ????? $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:45,37946,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
E5UJ1konlPg,UNRWA FUNDRAISER DAY 4,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s vod3: https://youtube.com/live/X2FHG4-TThU vod4: https://www.youtube.com/watch?v=PB9hN4963xM vod5: https://youtube.com/live/t4Zg01dd9bE?feature=share vod6: https://youtube.com/live/cnyt75Mr5j4 vod7: https://youtube.com/live/iGJtKfW6rs0  GOALS $500K - ????? $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:42,12068,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
-G2yiztUvEU,UNRWA FUNDRAISER DAY 5,DONATE: https://getinvolved.unrwausa.org/fundraiser/6373577  Today's guests: @YUGOPNIK @westsidetyler @Princess_Weekes @elliotsangestevez @iDubbbzTV   vod1: https://youtube.com/live/kwHFvlBnTH0 vod2: https://youtube.com/live/4-iw_oOoi0s vod3: https://youtube.com/live/X2FHG4-TThU vod4: https://www.youtube.com/watch?v=PB9hN4963xM vod5: https://youtube.com/live/t4Zg01dd9bE?feature=share vod6: https://youtube.com/live/cnyt75Mr5j4 vod7: https://youtube.com/live/iGJtKfW6rs0 vod8: https://youtube.com/live/iGJtKfW6rs0 vod9: https://youtube.com/live/E5UJ1konlPg  GOALS $500K - ????? $250k - Shave mustache $200k - Bleach hair $150k - Maid outfit $100k - Sleep with no pillow $85k - Hot chip challenge  $75k - Sleeping stream  MY LINKS patreon: https://www.patreon.com/samsen instagram: https://www.instagram.com/noahsamsen/ bluesky: https://bsky.app/profile/nsamsen.bsky.social,2025-05-24 22:41:39,33339,False,Noah Samsen,UCAXCE0MLOSTTkkOU1HTh_IA,I talk about politics and sometimes internet culture
