Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
Nathan,486000,0.5864477,0.52,0.11657270044088364,870,https://www.youtube.com/@nathan.barnatt
ABC News,19100000,0.58597684,0.523,0.1018872931599617,106542,https://www.youtube.com/@abcnews
Chris Portal,26000,0.58457005,0.5,0.11615070700645447,51,https://www.youtube.com/@chrisportalbits
Valuetainment Short Clips,740000,0.583763,0.584,0.12745076417922974,9609,https://www.youtube.com/@valuetainmentshortclips
Visual Venture,1350000,0.58371246,0.658,0.15370304882526398,120,https://www.youtube.com/@visualventure
Fleshcore AI,56100,0.582599,0.389,0.10623545944690704,548,https://www.youtube.com/@mr_ai_creatorr
Haley Kalil,8070000,0.5825833,0.476,0.0888102576136589,4212,https://www.youtube.com/@haleyybaylee
PyroLIVE,1140000,0.5779234,0.563,0.10709607601165771,1313,https://www.youtube.com/@pyrocynicalvevo
Mina Le,1740000,0.5774865,0.582,0.1202319860458374,149,https://www.youtube.com/@gremlita
Celebified,17000,0.57686985,0.686,0.14084680378437042,621,https://www.youtube.com/@celebified3246
Misha Petrov,521000,0.57464373,0.704,0.13589368760585785,832,https://www.youtube.com/@realmishapetrov
Valuetainment,7060000,0.5739525,0.645,0.13253659009933472,10180,https://www.youtube.com/@valuetainment
Blooms,576000,0.57157886,0.581,0.17479942739009857,82,https://www.youtube.com/@bloomser
Louis Levanti,985000,0.57131517,0.517,0.12710116803646088,2887,https://www.youtube.com/@louislevanti_
Chris Williamson,3940000,0.5682242,0.567,0.1233433410525322,3815,https://www.youtube.com/@chriswillx
iNabber,1100000,0.56629467,0.606,0.14820244908332825,450,https://www.youtube.com/@inabber
First Things THRST,257000,0.5655601,0.496,0.09542884677648544,837,https://www.youtube.com/@firstthingsthrst
Bloomberg Technology,705000,0.5646429,0.433,0.08956997096538544,12942,https://www.youtube.com/@bloombergtechnology
Neil Patel,1500000,0.5644474,0.424,0.09955740720033646,2198,https://www.youtube.com/@neilpatel
BBC Global,702000,0.56406057,0.572,0.11617576330900192,703,https://www.youtube.com/@bbc_global
Yahoo Finance,1450000,0.5625448,0.447,0.10179176926612854,58834,https://www.youtube.com/@yahoofinance
