Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count,Discovered_Channel_URL
BBC World Service,1640000,0.46995887,0.352,0.0688751637935638,2308,https://www.youtube.com/@bbcworldservice
meg,17800,0.469667,0.401,0.0832088589668273,48,https://www.youtube.com/@normalgirlmakesclothes
Jasmine Star,80500,0.46871847,0.379,0.0768924057483673,1351,https://www.youtube.com/@officialjasminestar
Meditations for the anxious mind,306000,0.46850365,0.43,0.0844308584928512,387,https://www.youtube.com/@meditationsfortheanxiousmind
Jarrett Moore,81000,0.46760023,0.379,0.118033692240715,24,https://www.youtube.com/@jarrettmoore6458
The Deep End w/Taylor Welch,491000,0.46164545,0.377,0.0844066217541694,576,https://www.youtube.com/@taylorawelch
Tiff In Tech,568000,0.45880187,0.416,0.0987237691879272,829,https://www.youtube.com/@tiffintech
PragerU Kids,125000,0.45858306,0.352,0.1007742136716842,829,https://www.youtube.com/@pragerukids
Motivation Core,433000,0.45729214,0.447,0.137090727686882,34,https://www.youtube.com/@m_core
Sociology Live!,17400,0.4552378,0.424,0.1122712418437004,10,https://www.youtube.com/@sociologylive4343
The Body Language Guy,918000,0.45488074,0.367,0.0727675706148147,1707,https://www.youtube.com/@thebodylanguageguy
Business Upside,13100,0.45454183,0.43,0.1131908670067787,441,https://www.youtube.com/@businessupside
MSL Talk,11500,0.4536426,0.373,0.0659697726368904,251,https://www.youtube.com/@msltalk
Candace Owens,5510000,0.45000327,0.269,0.0788814797997474,1514,https://www.youtube.com/@realcandaceo
