Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Score_Emb_Matrix_Avg,Discovered_Video_Count
Mark Tilbury,7110000,0.54828554,0.428,0.0944249108433723,288
Liam Donovan,178000,0.5476874,0.583,0.1398373693227768,79
The Late Show with Stephen Colbert,10400000,0.546906,0.553,0.1186438277363777,12411
SiliconANGLE theCUBE,74100,0.54685104,0.421,0.1000645607709884,18384
CircleToonsHD,3590000,0.54477084,0.514,0.096251256763935,477
Brandon Conner,3140000,0.5442878,0.337,0.0873444825410842,2707
TLDR News Global,1050000,0.54211485,0.443,0.097752459347248,981
Jaydone History,170000,0.54182804,0.565,0.1590812057256698,122
T3Media Studios,14300,0.54103315,0.546,0.1139020025730133,4792
The Critical Drinker,2380000,0.54082775,0.568,0.1248631551861763,626
ButterFaces,156000,0.5404819,0.493,0.140892818570137,684
The Plain Bagel,1100000,0.5385616,0.426,0.103056788444519,257
Have You Met Thomas,68300,0.53682625,0.421,0.1147068217396736,37
Rebel HQ,1410000,0.5354485,0.586,0.1364265531301498,16954
Matteo Turi,42600,0.53406847,0.5,0.1085261031985282,240
David Pakman Show,3380000,0.53396136,0.53,0.1229624971747398,41095
Salesforce Ben,66800,0.5331795,0.327,0.0742791593074798,666
Newsweek,679000,0.5312357,0.532,0.1060280576348304,13250
WIRED,12500000,0.53107446,0.523,0.1114804819226265,4093
KreekCraft,15200000,0.52926844,0.49,0.112043097615242,6218
Pop Culture Brain,168000,0.5288011,0.624,0.1409979909658432,2293
Hugo Henderson,90800,0.5285624,0.517,0.1435993909835815,214
Noah Kagan,1180000,0.5280235,0.332,0.0846760123968124,564
Clara Dao,4100000,0.52751803,0.352,0.0694785788655281,1053
Patty Pop Culture,216000,0.5271121,0.59,0.1419486254453659,675
Bloomberg Television,2920000,0.52499104,0.438,0.0847383737564086,86157
mattyballz,474000,0.52419186,0.646,0.14202381670475,370
Big Think,8350000,0.52400255,0.533,0.1121032088994979,9725
