name,subscribers_M,video_count
Dev Raval Shorts,1.13,218
Vusi Thembekwayo,1.13,1112
The Ramsey Show,1.1,3206
The Plain Bagel,1.1,257
Drk Talks,1.09,247
Gen-Z Way,1.08,953
Desi Traveling YT,1.06,1006
Hamid Talks,1.06,882
Sanjay Kathuria ,1.06,1071
AdviceWithErin,1.05,845
Leila Hormozi,1.05,3077
Varun Mayya,1.0,1036
sitil imoet🥺,0.958,146
BossUpCosmetics,0.958,285
Mitch Manly,0.926,78
LANEIGE US,0.915,1087
Deepanshu Bhaskar,0.883,589
Chispa Motivation,0.881,336
ClassXplained,0.864,179
thebeekid,0.857,132
Learn With Shopify,0.817,1273
Faad Technician,0.808,385
Natalie Dawson,0.802,1255
Monetize My Dog – Shorts Monetization Made Easy.,0.792,1563
Haut Hisse,0.788,199
Caden Boof,0.778,50
Noeli Creates,0.776,511
Sheff G,0.754,72
Hike Camp Climb,0.75,60
Be Healthy Be Strong,0.742,435
Ayushman Pandita,0.736,580
B Technology,0.73,30
Wint Wealth,0.716,189
Shanu Priya,0.714,219
Starter Story,0.693,328
Circus Thuppaki,0.682,1783
Liam Ottley,0.681,201
Shark Numbers,0.679,141
Sidd Ahmed,0.651,1782
Lowly.,0.649,520
Dr. Tanu Jain,0.648,228
Jon Youshaei,0.646,284
GrowthX,0.638,881
EO,0.615,314
PETFLIX,0.61,270
Hauterrfly,0.608,6451
Futurepedia,0.594,134
Laksha Joshi,0.581,1644
Stansberry Research,0.576,1694
MONEY_TALKS,0.573,408
Acute Facts,0.569,239
On Rainy Days,0.568,205
Noah Raquel,0.567,207
Mr Techpedia,0.539,468
Mark Tilbury Backstage,0.534,67
Hard Working's,0.532,355
CBC Kids,0.532,4705
Austyn Crispell,0.525,1019
Broke Brothers,0.523,602
Jordan Peterson Fan Channel,0.518,59
AK,0.51,53
Anik Singal,0.509,1281
Janidreamer,0.504,412
Inteligencia Artificial,0.503,1224
Greg Isenberg,0.49,697
Once Upon A Time ,0.482,274
Productive Peter,0.459,133
YT UNLOCKED,0.446,253
Viplav Majumdar (Planyourworld.com),0.438,1693
Growing Forever,0.437,470
Ritika Yaduvanshi,0.435,826
Eternal Explorer,0.431,16
SetupsAI,0.425,579
Nate Herk | AI Automation,0.421,263
Business Motiversity,0.416,363
Suraj PaHaDi Cooking,0.4,618
Supercarboy,0.391,310
Legends attitude,0.385,296
Madz Jewelry,0.383,217
thailifechannel,0.372,257
selfhelpsonya,0.361,294
TheSutraas हिन्दी,0.361,369
Rico Rixo,0.339,415
TECHY EAGLE,0.336,90
David Ondrej,0.327,338
Stefanovic,0.327,108
GreyPot,0.316,981
Blind on the Move,0.313,539
DorianGroup82,0.31,1587
Revolic ,0.303,66
IndiaLoRavitheja,0.302,389
Vanader,0.298,1087
Savanteum,0.291,47
Men Quote,0.29,4590
Mia Yilin,0.289,163
Denish Tanna,0.288,1780
Vicky Zhao [BEEAMP],0.286,198
YourStory,0.27,4098
Pelly Kelly,0.269,475
Think Wings,0.268,281
Talks With Rochit,0.259,188
Sunny Gala,0.256,100
Richard Nixon Foundation,0.25,1286
LilBabyVEVO,0.234,153
𝐏𝐢𝐧𝐤 𝐁𝐞𝐫𝐫𝐲'𝐬,0.229,406
Angela,0.228,27
Inner Peace and Meditation,0.228,241
Success Affection,0.227,320
The Calum Johnson Show,0.224,422
Nick Saraev,0.217,259
karthikmanjuram_talks,0.211,136
ISE ONE,0.207,341
Maggie McCormack,0.205,70
Nikko Montanez,0.204,149
PeakMotivation,0.198,493
Technical Jassu,0.191,229
Future Business Ideas,0.19,113
Matt Gray,0.19,938
Boosted Words,0.187,307
Leveling Up with Eric Siu,0.187,2054
TrulyBudget,0.187,198
